PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
1101005,1,1,1,29,2,1,2,,5.0,1,1,7,4,2,1.0
1101010,1,1,1,19,2,1,3,,,3,1,7,98,2,1.0
1101042,1,1,1,22,2,2,3,,,9,3,7,1,2,1.0
1101068,1,1,1,25,2,2,1,1.0,,9,3,7,1,2,1.0
1101082,1,1,1,21,2,1,9,,,2,3,7,98,1,1.0
1102003,1,1,2,27,2,1,1,4.0,,3,1,5,1,2,1.0
1102050,1,1,2,25,2,2,3,,,3,3,7,98,2,1.0
1103018,1,1,1,34,3,1,3,,,2,1,5,4,2,1.0
1104041,1,1,2,33,3,1,1,1.0,,3,3,5,1,2,0.99
1104059,1,1,2,33,3,2,9,,,2,3,5,1,2,0.99
1104071,1,1,2,35,3,1,3,,,3,3,6,1,2,0.99
1105003,1,1,1,49,4,1,2,,2.0,2,1,5,1,2,1.0
1105017,1,1,1,43,4,1,2,,4.0,2,1,5,1,2,1.0
1105019,1,1,1,44,4,1,3,,,9,1,5,1,2,1.0
1105025,1,1,1,48,4,1,1,4.0,,3,1,5,1,2,1.0
1105062,1,1,1,45,4,1,3,,,3,3,3,98,2,1.0
1106081,1,1,2,47,4,1,3,,,3,3,5,5,2,0.99
1107009,1,1,1,55,5,1,1,4.0,,2,1,5,1,2,1.0
1108011,1,1,2,51,5,1,3,,,3,1,3,1,2,1.0
1108024,1,1,2,54,5,1,3,,,3,1,6,1,1,1.0
1108031,1,1,2,57,5,2,1,2.0,,3,3,6,98,2,1.0
1109087,1,1,1,66,6,1,2,,3.0,3,3,8,1,2,0.97
1109144,1,1,1,67,6,1,2,,2.0,2,3,8,98,1,0.97
1110004,1,1,2,82,6,1,3,,,2,1,6,1,2,1.02
1110019,1,1,2,66,6,1,2,,2.0,2,1,6,99,2,1.02
1110027,1,1,2,60,6,1,9,,,9,1,6,1,2,1.02
1110047,1,1,2,67,6,1,9,,,3,3,6,98,2,1.02
2102011,2,2,2,20,2,1,1,1.0,,3,3,7,98,2,0.99
2103015,2,2,1,34,3,1,3,,,2,3,2,98,2,1.0
2105022,2,2,1,48,4,1,2,,2.0,3,3,4,5,2,1.0
2108032,2,2,2,56,5,1,3,,,3,3,6,98,2,1.0
2108037,2,2,2,57,5,1,9,,,9,3,5,1,1,1.0
2110012,2,2,2,60,6,1,2,,2.0,2,1,7,98,1,1.01
2201008,3,3,1,26,2,1,3,,,2,1,8,1,2,0.99
2202012,3,3,2,21,2,1,2,,2.0,2,3,7,98,2,1.0
2204001,3,3,2,35,3,1,1,1.0,,3,1,6,98,2,1.0
2204005,3,3,2,35,3,2,3,,,9,3,5,98,2,1.0
2205021,3,3,1,41,4,1,1,3.0,,3,3,2,4,2,0.99
2206002,3,3,2,47,4,1,3,,,2,1,5,98,2,1.02
2301002,4,4,1,19,2,1,3,,,2,1,7,1,2,1.0
2301014,4,4,1,21,2,2,1,1.0,,2,3,3,98,2,1.0
2302006,4,4,2,20,2,2,1,1.0,,3,3,7,98,2,0.98
2303004,4,4,1,39,3,1,3,,,3,1,8,1,2,1.0
2304008,4,4,2,30,3,2,9,,,3,3,5,5,2,0.99
2304009,4,4,2,30,3,1,1,1.0,,3,3,5,99,2,0.99
2305005,4,4,1,49,4,1,3,,,9,1,4,1,2,1.0
2305011,4,4,1,46,4,1,3,,,3,1,5,1,2,1.0
2306014,4,4,2,48,4,1,1,3.0,,3,3,2,98,2,1.0
2306017,4,4,2,40,4,2,3,,,3,3,3,1,2,1.0
2309010,4,4,1,77,6,1,2,,3.0,9,1,8,1,2,1.1
2401002,5,5,1,20,2,1,3,,,9,1,7,1,2,1.01
2401007,5,5,1,29,2,1,3,,,3,3,8,1,2,1.01
2402001,5,5,2,24,2,1,3,,,3,1,7,5,2,0.99
2403006,5,5,1,30,3,1,1,4.0,,3,3,2,1,2,1.01
2405002,5,5,1,41,4,1,2,,2.0,2,1,2,3,2,0.99
2408001,5,5,2,54,5,2,3,,,2,1,6,1,2,1.01
2501002,6,6,1,24,2,1,3,,,2,1,7,1,2,1.01
2502001,6,6,2,21,2,1,9,,,9,1,7,98,2,1.0
2505010,6,6,1,47,4,1,3,,,2,3,4,1,2,1.0
2506007,6,6,2,41,4,1,3,,,3,3,6,1,2,0.98
2601001,7,7,1,22,2,2,3,,,3,1,7,98,2,0.99
2603004,7,7,1,34,3,1,3,,,3,1,2,1,2,1.0
3102012,8,8,2,27,2,2,3,,,2,1,5,2,2,0.99
3102014,8,8,2,22,2,1,3,,,2,1,7,98,2,0.99
3102030,8,8,2,20,2,1,1,4.0,,3,3,7,98,2,0.99
3102084,8,8,2,20,2,1,3,,,2,3,7,98,2,0.99
3103036,8,8,1,38,3,1,1,4.0,,3,1,5,98,2,1.0
3103084,8,8,1,34,3,1,1,2.0,,3,3,4,5,2,1.0
3103085,8,8,1,34,3,1,1,2.0,,3,3,5,1,2,1.0
3103103,8,8,1,38,3,1,2,,3.0,2,3,4,98,2,1.0
3103120,8,8,1,37,3,1,1,1.0,,2,3,5,1,2,1.0
3104008,8,8,2,30,3,1,1,1.0,,3,1,5,98,2,0.99
3104010,8,8,2,38,3,1,3,,,3,1,6,98,2,0.99
3105002,8,8,1,42,4,1,3,,,3,1,5,98,2,1.0
3105008,8,8,1,49,4,1,1,2.0,,3,1,2,1,2,1.0
3105089,8,8,1,49,4,1,2,,1.0,9,3,3,2,2,1.0
3107011,8,8,1,58,5,1,1,4.0,,3,1,5,1,2,1.0
3107117,8,8,1,57,5,1,2,,3.0,3,3,2,3,2,1.0
3108009,8,8,2,55,5,1,2,,2.0,2,1,6,4,2,1.0
3108042,8,8,2,56,5,1,9,,,9,3,5,98,2,1.0
3109012,8,8,1,65,6,1,1,3.0,,3,1,2,1,2,1.01
3109022,8,8,1,63,6,1,2,,4.0,1,1,5,98,2,1.01
3109048,8,8,1,61,6,1,3,,,2,1,2,98,2,1.01
3110009,8,8,2,63,6,1,3,,,3,1,2,1,2,0.99
