PID,비표_ID,C_Q1,C_Q1_1,C_Q1_2,C_Q2,C_Q3_1,C_Q3_2,C_Q3_3,C_Q3_4,C_Q3_5,C_Q3_6,C_Q4_1,C_Q4_2,C_Q4_3,C_Q4_4,C_Q4_5,C_Q4_6,C_Q4_7,C_Q4_8,C_Q5,C_Q6_1,C_Q6_2,C_Q6_3,C_Q6_4,C_Q6_5,C_Q6_6,C_Q6_7,C_Q6_8,C_Q6_9,C_Q6_10,C_Q7_1,C_Q7_2,C_Q8,C_Q9,C_Q10,C_Q11,C_Q12,C_Q13,C_Q14,C_Q15,C_DQ1,C_DQ2,C_DQ3,C_DQ4,C_DQ5,C_DQ6,D_Q1,D_Q1_1,D_Q1_2,D_Q2,D_Q3_1,D_Q3_2,D_Q3_3,D_Q3_4,D_Q3_5,D_Q3_6,D_Q4_1,D_Q4_2,D_Q4_3,D_Q4_4,D_Q4_5,D_Q4_6,D_Q4_7,D_Q4_8,D_Q5_1,D_Q5_2,D_Q5_3,D_Q5_4,D_Q5_5,D_Q5_6,D_Q5_7,D_Q5_8,D_Q5_9,D_Q5_10,D_Q6_1,D_Q6_2,D_Q7,D_Q8,D_Q9_M1,D_Q9_M2,D_Q9_1,D_Q10_M1,D_Q10_M2,D_Q10_1,D_Q11,D_Q12,D_Q13,D_Q14,D_Q15,D_Q16,D_Q17,D_Q18,D_Q19_1,D_Q19_2,D_Q19_3,D_Q19_4,D_Q19_5,D_Q19_6,D_Q19_7,D_Q19_8,D_Q20_1,D_Q20_2,D_Q20_3,D_Q20_4,D_Q20_5,D_Q20_6,D_Q20_7,D_Q20_8,D_Q20_9,D_Q20_10,D_Q20_11,D_Q20_12,D_Q20_13,D_Q20_14,D_Q21_1,D_Q21_2,D_Q21_3,D_Q21_4,D_Q21_5,D_Q22_1,D_Q22_2,D_Q22_3,D_Q22_4,D_Q22_5,D_Q22_6,D_Q23,D_Q23_1,WT4
1101005,307,3,,,3,2,1,1,2,2,2,2,1,2,3,4,2,1,2,1,4,1,4,2,6,5,5,3,7,1,4,2,4,2,2,5,4,1,4,3,3,3,3,8,1,5,2,,2.0,2,2,1,2,2,2,2,2,2,3,4,5,6,2,2,4,2,4,3,4,4,4,3,5,2,6,2,2,2,3,1.0,특이사항 없음,3,1.0,투명한 정보공개및 접근성 강화. 비리 근절및 안전불감증 일소,3,2,2,2,4,3,4,3,4,3,3,1,1,2,1,2,4,4,2,2,3,3,3,4,2,2,3,4,4,2,2,2,2,2,2,2,1,2,3,3,1,2,"토론형식의 부재, 공청회 같은   공론화 위원회. 공약실행을 위한 사전정지 작업인지 공약 파기를 위한 부담 떠넘기기인지 의심스러움",0.86
1101010,417,3,,,1,1,2,2,2,3,1,3,2,1,4,2,1,2,4,1,3,4,3,4,3,3,5,4,4,4,2,2,3,1,2,1,4,3,4,3,3,7,2,7,6,5,1,1.0,,1,1,2,4,3,3,2,3,2,4,5,4,5,2,2,3,4,2,4,4,4,5,4,3,4,2,3,1,2,1,2.0,,1,3.0,,3,1,2,1,4,3,4,3,6,6,5,2,3,2,3,3,3,2,1,1,2,2,3,4,1,1,3,4,5,2,2,2,2,1,2,1,1,3,4,3,3,2,,1.09
1101012,310,2,,2.0,2,1,1,1,2,1,4,3,2,3,2,3,2,1,3,3,3,2,6,2,6,3,6,2,7,1,7,2,3,2,2,1,2,3,3,3,3,7,4,7,8,5,2,,1.0,2,1,1,1,2,1,3,1,1,1,6,3,4,1,2,4,3,7,1,7,3,7,1,5,1,7,1,2,2,3,2.0,신재생에너지 정부지원의 투명화가 중요하다. 전력난과 전기요금인상에 대한 대책구비 인맥이나 당이 아닌 실리성으로만 진행되어야 한다,1,3.0,,3,4,2,1,4,3,4,3,3,6,3,3,4,4,6,4,4,4,1,1,1,1,1,4,1,1,7,2,3,2,3,2,2,4,4,1,1,1,4,3,1,2,일종의 사회적 실험으로서  성공적이었다고 생각함,0.86
1101035,32,1,4.0,,1,2,1,1,1,3,1,3,3,2,2,2,1,1,2,1,3,5,1,7,2,4,1,3,2,6,3,6,3,1,1,5,4,1,2,3,3,7,4,7,4,1,1,4.0,,2,1,1,1,1,2,2,1,3,6,4,4,4,2,2,4,4,2,7,3,5,3,4,1,5,1,1,1,1,4,2.0,주민이주문제 등 발색하는 모든 문제를 민주적 절차에 따라 처리하였으면 좋겠습니다,1,2.0,건설시공부터 가동중단까지 안전과 비리는 타협없이 운영했으면 좋겠습니다,3,4,2,2,4,1,2,3,3,5,3,1,2,1,1,1,1,1,1,1,1,1,1,3,5,3,2,2,2,6,1,1,1,1,1,1,2,2,1,1,1,3,"자료집, 이러닝 자료, 사회자,  모더레이터, 전반적인 공론화과정, 분임토의과정은 공정하였다고 생각하지만 뭔가 우 리의 생각을 틀안에 가둬 놓고 활발한 토론을 제한시켰다는 점에서 아쉬웠습니다",1.2
1101040,261,2,,2.0,3,2,1,1,4,1,2,2,2,2,3,3,2,2,4,3,6,3,3,4,6,2,5,2,7,1,4,2,4,4,2,5,4,5,2,5,3,3,2,7,3,5,2,,2.0,2,1,1,1,1,2,2,2,1,2,3,3,4,4,3,6,3,5,3,3,2,6,1,6,1,6,1,2,1,2,4.0,,4,3.0,,4,1,2,1,2,1,2,3,5,3,3,2,4,1,1,1,2,2,1,1,1,2,2,4,1,2,2,3,4,1,1,1,1,1,1,1,1,2,2,1,1,2,"아쉬운점이 있다면 질의응답시간외에 분임별로 패널분중 재개측 1분,반대측 1분을 따로 모셔서 직접질의 등 얘기를 나누었으면 좋았을것 같다",1.09
1101042,146,3,,,2,2,2,2,2,2,3,4,2,2,2,3,3,2,3,3,3,3,5,3,4,4,4,4,4,5,3,3,3,4,2,1,2,1,2,3,3,8,3,7,8,5,2,,4.0,2,2,1,2,2,2,3,3,2,2,2,5,6,2,2,3,3,6,3,5,3,3,2,3,3,2,2,2,2,3,1.0,"LNG발전 이외의 다른 에너지발전에 대한 연구,개발에 투자하고 태양광,풍력 등의 대체에너지에대한 규제가 완화,보완 되어야 한다",4,3.0,원전 운영에 대한 투명성과 안전한 운영에 대한 보완이 필요하고 비리 등에 의한 안전에 위협하는 것들에 대해 대비가 필요하다,3,1,4,2,2,1,4,3,2,3,4,3,3,1,1,1,4,4,2,2,2,4,3,6,2,2,3,4,5,2,2,1,2,2,3,1,2,2,2,2,1,2,중단과 재개의 입장에서 같은 사안에 대해서도 서로 다른 주장을 하는것이 '전문가의 강의'에서도 발생하였다.좀더 명확한 팩트 체크가 필요한것 같다.또한 각 입장에 대한 반박과 재반박 과정이 부족했다.그럼에도 이번 공론화 위원회는 개인적으로도 큰 의의가 있었고 이러한 시도 자체가 참신했고 좋았다.고생하신 모든 관계자 분들 수고 많으셨습니다!,1.09
1101068,336,3,,,2,1,2,2,2,2,1,4,4,4,3,2,2,2,4,5,5,4,4,3,3,4,3,3,5,3,4,3,4,4,2,4,4,1,2,3,3,5,3,7,5,1,2,,5.0,2,1,1,2,2,2,1,4,3,4,5,5,5,3,3,4,3,4,3,3,3,5,3,5,5,4,3,2,2,3,2.0,"중단할 경우 온실가스 등  미세 먼지, 일산화탄소 방출이 생기지 않는 자체적으로 신재생에너지 기술 개발에 힘써야한다",2,4.0,현재 30% 건설된 원전을 건설하 되 신재생에너지 개발과 투자에 힘을 써야 한다. 예를 들어 원전부지에 태양광 판넬을 설치하는 등 원전과 신재생에너지의 공존하는 방향으로 에너지 개발하였으면 한다,4,4,2,4,4,1,2,3,5,3,3,4,4,3,3,3,3,3,3,2,3,3,3,4,2,2,2,4,4,2,3,3,3,3,3,2,2,3,1,3,3,2,중단이냐 재개냐에 대한 공론화 보단 국민들을 나라 중대사에 참여할 수 있는 자리를 만들어 나라에 대한 애국심이나 관심을 이끌어 낸 것에 대해 큰 만족을 느낀다,1.2
1101082,254,3,,,1,2,2,3,4,5,2,4,4,3,4,5,3,4,3,4,4,2,2,6,5,3,3,5,5,4,2,2,3,4,2,5,2,1,4,3,3,4,2,7,4,3,3,,,1,2,3,4,5,4,2,4,3,5,2,3,6,3,3,2,3,2,5,4,3,3,4,4,3,2,2,2,1,1,3.0,"신재생에너지에대한 투자를 늘리고 국내산업에서 최대한 제작,유통,설치할수 있도록 기술개발",2,4.0,"원전은 신고리5,6호에서 끝내고 신재생 지원",3,1,2,2,4,3,4,3,4,6,2,3,3,1,2,1,2,2,1,1,2,4,3,3,2,2,2,3,3,2,3,1,2,1,2,1,1,2,2,2,1,2,"모든 사람의 의견을 들을수는 없으므로 이런식으로 시민들을 모아 의견을 듣는 공론화는 바람직하다고 본다. 전문가들은 자신의 이익과 직결된 문제일수 있어 공정한 결론이 나지 않을수 있으므로 제3자가 서로에게 의견을 듣고 결정하는 방식이 공정했다고 생각한다.불만족스러운 부분은 시간이 부족해 양측의 의견을 더 심도있게 듣고 질문하고 고민할 시간이 부족 했다는 것과 전문가들끼리의 반론,재반론이 부족했다고 생각되는 점 등이 있었다",1.09
1102003,288,3,,,2,2,1,2,4,2,2,3,2,2,2,3,2,3,2,1,4,5,4,4,5,4,5,3,5,3,5,4,3,1,5,4,4,1,4,3,3,7,3,5,7,5,2,,2.0,2,2,2,2,3,2,2,4,3,4,5,5,4,5,3,5,3,5,4,6,5,3,4,5,2,5,2,2,2,2,3.0,,3,4.0,,3,1,2,3,4,3,4,3,5,4,4,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,4,5,4,3,2,2,3,3,3,2,2,2,3,2,2,2,대체적으로 과정이 공정하게  진행되었다고 생각합니다,1.09
1102009,199,1,2.0,,1,1,2,2,3,2,2,3,3,2,1,4,1,1,2,2,3,5,5,5,2,3,3,4,3,2,3,3,3,4,2,1,2,5,3,3,3,7,2,5,7,5,1,4.0,,1,2,5,5,1,5,4,6,3,5,4,3,3,4,4,3,6,2,5,1,7,2,4,3,5,2,5,1,2,1,2.0,원자력기술을 버리지 말고  활용할 수 있는 다른 방법을 모색해봐야 함 (원전을 제외하고),4,2.0,원자력이 저렴하다고 조급하게  판단하지 말고 투명하게 핵폐기물처리비용 등을 후세에 넘기지 말고 지금 전기요금에 즉시 반영해야 함,3,1,2,4,4,1,4,3,6,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,3,3,3,1,1,2,1,3,1,2,대체로 만족되었지만 주변의  눈치를 보고 의견을 못낸 적도 있음(어르신들이 무섭게 재개쪽에 찬성하시고 원전으로  우리나라가 발전했다고 맹신하시기 때문에 감히 다른 의견을 내기가 어려울 때도 있었음) 하지만 국민들이 참여함으로써 준전문가가 된 사람도 많음 이런 과정을 많이 거치다보면 추후에 정책을 도입할 때 정치인&전문가(직접적 이해관계자)들은 국민의  의견을 묻고 더욱 투명하고 현명하게 정책도입을 할 수 있을 것 같음 분임토의를 토해 내 의견을 주장할 수 있고 (결정에 영향을 끼치는) 다른 정보들도 얻을 수 있었으며 모더레이터분의 전문적인 진행도 만족스러웠음,1.09
